Month,Elec,LC
2009-01-01,360286,0.553
2009-02-01,306002,0.546
2009-03-01,313993,0.552
2009-04-01,293676,0.542
2009-05-01,317125,0.598
2009-06-01,353811,0.65
2009-07-01,378726,0.645
2009-08-01,387938,0.621
2009-09-01,332099,0.594
2009-10-01,312168,0.546
2009-11-01,300984,0.549
2009-12-01,356004,0.492
2010-01-01,368996,0.497
2010-02-01,325711,0.491
2010-03-01,317751,0.475
2010-04-01,292857,0.483
2010-05-01,333541,0.565
2010-06-01,383263,0.658
2010-07-01,417407,0.678
2010-08-01,414679,0.67
2010-09-01,348949,0.595
2010-10-01,309560,0.544
2010-11-01,307713,0.546
2010-12-01,362806,0.5
2011-01-01,369757,0.498
2011-02-01,317838,0.489
2011-03-01,323812,0.498
2011-04-01,307205,0.497
2011-05-01,330743,0.58
2011-06-01,374456,0.662
2011-07-01,427241,0.709
2011-08-01,413928,0.676
2011-09-01,342960,0.618
2011-10-01,314025,0.559
2011-11-01,307960,0.552
2011-12-01,341050,0.519
2012-01-01,345385,0.506
2012-02-01,313869,0.503
2012-03-01,313094,0.5
2012-04-01,300585,0.534
2012-05-01,343784,0.617
2012-06-01,368030,0.672
2012-07-01,424783,0.734
2012-08-01,404094,0.697
2012-09-01,340788,0.66
2012-10-01,317728,0.621
2012-11-01,311486,0.627
2012-12-01,339603,0.598
2013-01-01,354677,0.603
2013-02-01,315480,0.596
2013-03-01,332147,0.584
2013-04-01,304229,0.595
2013-05-01,329849,0.718
2013-06-01,364924,0.886
2013-07-01,402611,0.944
