TSTAMP,CDMA_ATTEMPTS ,CDMA_DATA_ATTEMPTS ,CDMA_VOICE_ATTEMPTS ,US_Electricity_Supply_(GWh)
01-01-2015,6460010071,5494918761,965091310,368364.427
02-01-2015,5739065337,4832444894,906620443,342580.312
03-01-2015,6422780178,5414693661,1008086517,332066.641
04-01-2015,6451279347,5431785130,1019494217,302027.806
05-01-2015,7167363602,6100514668,1066848934,330970.113
06-01-2015,7304929593,6241923169,1063006424,371617.41
07-01-2015,7788318037,6720960359,1067357678,410253.705
08-01-2015,7449002246,6407122520,1041879726,402215.908
09-01-2015,7024388127,6031279663,993108464,358836.63
10-01-2015,6791786133,5783581324,1008204809,318480.393
11-01-2015,6221112837,5293556919,927555918,307251.889
12-01-2015,6249031146,5281367815,967663331,331223.767
01-01-2016,6015848404,5119818379,896030025,360456.382
02-01-2016,5514015494,4639751570,874263924,320717.896
03-01-2016,5706289918,4771410370,934879548,310994.42
04-01-2016,5919301534,4952709516,966592018,298955.078
05-01-2016,6578248448,5562081823,1016166625,325373.425
06-01-2016,6789217127,5772521327,1016695800,378256.351
07-01-2016,7526727722,6530146877,996580845,423571.97
08-01-2016,7620617456,6598833749,1021783707,421661.744
09-01-2016,7253218444,6297214937,956003507,360799.919
10-01-2016,7446719635,6467415840,979303795,320709.702
11-01-2016,7022613385,6102476629,920136756,305891.634
12-01-2016,6929947649,5985655107,944292542,354688.381
01-01-2017,6787568244,5911216362,876351882,350962.102
02-01-2017,6105336432,5292012033,813324399,297677.267
03-01-2017,6684253643,5765335395,918918248,329504.207
04-01-2017,6748943525,5836646652,912296873,303055.091
05-01-2017,7262286175,6270086162,992200013,331204.487
06-01-2017,7227789605,6256086689,971702916,368748.926
07-01-2017,7702124472,6771182440,930942032,413691.27
08-01-2017,7761483996,6784012870,977471126,392615.362
09-01-2017,7561215836,6624490450,936725386,342595.618
10-01-2017,7558996624,6629604332,929392292,327538.407
11-01-2017,7008651135,6144474634,864176501,314604.634
12-01-2017,6985061263,6114919781,870141482,354341.324
01-01-2018,6816121435,5975784832,840336603,382130.712
02-01-2018,6284350299,5513389946,770960353,313538.455
