TSTAMP,CDMA_VOICE_ATTEMPTS ,Gasoline,VOICE_USAGE
01-01-2013,1420951935,41695,1666997081
02-01-2013,1156917109,42100,1369016416
03-01-2013,1437934217,47534,1688695942
04-01-2013,1429785700,46559,1595436811
05-01-2013,1502031854,48879,1652521434
06-01-2013,1378288608,48123,1576885243
07-01-2013,1358218561,49408,1512210911
08-01-2013,1328212503,49105,1532672654
09-01-2013,1201769566,45607,1360000476
10-01-2013,1205500497,46017,1410636973
11-01-2013,1105995881,41920,1286014377
12-01-2013,1119919044,42666,1324797560
01-01-2014,1041749113,42139,1170824462
02-01-2014,948789323,40168,1100860496
03-01-2014,1046660503,45802,1170388100
04-01-2014,1056516073,46741,1246713832
05-01-2014,1132757790,49974,1250946711
06-01-2014,1066164045,48014,1254836151
07-01-2014,1092558666,49143,1292903208
08-01-2014,1082799229,48673,1282746442
09-01-2014,1035735900,45487,1215457745
10-01-2014,1087835074,45438,1252553344
11-01-2014,993619037,40214,1122121133
12-01-2014,1021688701,36997,1144213820
01-01-2015,965091310,32440,1119220983
02-01-2015,906620443,31573,1101277801
03-01-2015,1008086517,36758,1209633953
04-01-2015,1019494217,37051,1149772529
05-01-2015,1066848934,41230,1176752710
06-01-2015,1063006424,41797,1190298501
07-01-2015,1067357678,42852,1228429467
08-01-2015,1041879726,40913,1254609680
09-01-2015,993108464,36614,1193129603
10-01-2015,1008204809,37007,1186469843
11-01-2015,927555918,33004,1034125208
12-01-2015,967663331,32578,1130396125
01-01-2016,896030025,29986,1072476638
02-01-2016,874263924,27961,1058041349
03-01-2016,934879548,32373,1067865310
04-01-2016,966592018,33975,1158247672
05-01-2016,1016166625,37337,1165203082
06-01-2016,1016695800,38499,1188932635
07-01-2016,996580845,38162,1143903669
08-01-2016,1021783707,37157,1132455801
09-01-2016,956003507,36316,1089534088
10-01-2016,979303795,37284,1132661125
11-01-2016,920136756,34212,1054786531
12-01-2016,944292542,35465,1148410453
01-01-2017,,34246,1031083113
02-01-2017,,32597,994281622.2
03-01-2017,,37253,1040421183
04-01-2017,,37607,1023137298
05-01-2017,,39383,1129444373
06-01-2017,,38648,1070763054
07-01-2017,,38441,1047285637
08-01-2017,,39862,1166333599
09-01-2017,,39991,1075954237
10-01-2017,,40344,1081526162
11-01-2017,,38811,971410407.1
12-01-2017,,38675,1042257327
